url,Reference,Model Year,Golfer,Brand,Club,Shaft,Shaft Material,Flex,Grip,Head Condition:,Shaft Condition:,Grip Condition:
https://www.golfbidder.co.uk/product/859315/Mizuno_MP-18_SC.html,1673330,2017,Mens Right Hand,Mizuno,6P - 6-PW Iron Set,KBS Tour C-Taper Lite 105,Steel,Regular,Golf Pride MCC Align Midsize,7 - GoodClose,7 - GoodClose,8 - Very GoodClose
https://www.golfbidder.co.uk/product/866519/Mizuno_MP-18_SC.html,1679826,2017,Mens Right Hand,Mizuno,6P - 6-PW Iron Set,project x LZ 120,Steel,Stiff,Golf Pride MCC plus 4 Align,7 - GoodClose,7 - GoodClose,7 - GoodClose
https://www.golfbidder.co.uk/product/865413/Mizuno_MP-18_SC.html,1667243,2017,Mens Right Hand,Mizuno,5-PW Iron Set,NS Pro 105T,Steel,X-Stiff,golf pride mcc grey,7 - GoodClose,8 - Very GoodClose,8 - Very GoodClose
https://www.golfbidder.co.uk/product/878811/Mizuno_MP-18_SC.html,1685599,2017,Mens Right Hand,Mizuno,6P - 6-PW Iron Set,True Temper 105 xp,Steel,Regular,Mizuno,10 - NewClose,10 - NewClose,10 - NewClose
https://www.golfbidder.co.uk/product/856052/Mizuno_MP-18_SC.html,1670364,2017,Mens Right Hand,Mizuno,6P - 6-PW Iron Set,KBS Tour 90,Steel,Stiff,Golf Pride MCC Align,10 - NewClose,10 - NewClose,10 - NewClose
https://www.golfbidder.co.uk/product/822994/Mizuno_MP-18_SC.html,1640229,2017,Mens Right Hand,Mizuno,5-PW Iron Set,KBS Tour,Steel,Regular,Golf Pride MC White,10 - NewClose,10 - NewClose,10 - NewClose
https://www.golfbidder.co.uk/product/822956/Mizuno_MP-18_SC.html,1640172,2017,Mens Right Hand,Mizuno,5-PW Iron Set,KBS Tour,Steel,Stiff,Golf Pride MC White,10 - NewClose,10 - NewClose,10 - NewClose
https://www.golfbidder.co.uk/product/822993/Mizuno_MP-18_SC.html,1640227,2017,Mens Right Hand,Mizuno,5-PW Iron Set,KBS Tour,Steel,Stiff,Golf Pride MC White,10 - NewClose,10 - NewClose,10 - NewClose
https://www.golfbidder.co.uk/product/821651/Mizuno_MP-18_SC.html,1638961,2017,Mens Right Hand,Mizuno,4-PW Iron Set,KBS Tour,Steel,Stiff,Golf Pride MC White,10 - NewClose,10 - NewClose,10 - NewClose
https://www.golfbidder.co.uk/product/856040/Mizuno_MP-18_SC.html,1670350,2017,Mens Right Hand,Mizuno,4-PW Iron Set,KBS Tour,Steel,Stiff,Golf Pride MC White,10 - NewClose,10 - NewClose,10 - NewClose
https://www.golfbidder.co.uk/product/883993/Mizuno_MP-18_SC.html,1696180,2017,Mens Left Hand,Mizuno,5-9 Iron Set,KBS Tour,Steel,X-Stiff,Golf Pride MCC Plus 4 midsize,7 - GoodClose,7 - GoodClose,7 - GoodClose
https://www.golfbidder.co.uk/product/894934/Mizuno_MP-18_SC.html,1706555,2017,Mens Left Hand,Mizuno,4-PW Iron Set,True Temper XP 95,Steel,Stiff,Golf Pride MCC Plus 4 Blue,6 - FairClose,7 - GoodClose,7 - GoodClose
https://www.golfbidder.co.uk/product/877492/Mizuno_MP-18_SC.html,1689952,2017,Mens Left Hand,Mizuno,3-PW Iron Set,project x LZ 120,Steel,Stiff,Golf Pride MCC plus 4,7 - GoodClose,7 - GoodClose,7 - GoodClose
